,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
191,logitech dinovo edge keyboard mac edition 920000924,logitech dinovo edge keyboard mac edition 920000924 perfectstroke key system innovative touchdisc charging base optimized mac layout bluetooth wireless technology 38 mm circular touch pad with horizontal and vertical scrolling,159.0,logitech dinovo edge keyboard mac edition 93000523,logitech dinovo edge keyboard mac edition 93000523 wvt.2 compatible with wtk2 version 3,��1,1
192,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt integrated ipod dock precision am/fm stereo tuner 3 1/2 ' dual high performance full-range speakers basstrac audio processing 2 auxiliary inputs high contrast display 10 fm & 5 am station presets 360º snooze bar remote control included grey finish,199.0,boston acoustics duo-i am/fm clock radio with ipod dock hduoimdnt,"canon pg-40 black ink cartridge twin pack pg40tbk compatible with canon fax-jx200 , pixma ip1600 ,",198.0 ��,1
193,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b008 black finish,��1,1
194,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",,lg lc2col col col col col col col col col col col col col col col col col col col col col col col col col col col col col color col col color col col color col color col color col color col color col color color col color col color col color col color color col color col color color color col color col color color col color color color col color col color color col color col color color col color color col color color col color color color col color color,sony 52 ' bravia s-series black lcd stereo speakers set col col price,erennial,1
195,sirius stiletto 2 portable satellite radio sl2pk1,sirius stiletto 2 portable satellite radio sl2pk1 sirius replay controls record up to 100 hours stores up to 10 hours of individual songs 2gb internal memory personalized sports ticker srs trubass and 3d focus technologies wifi black finish,,Sirius  Col name,spoolie_usb_r8 10-bit smart USB 2.0 bb1 spoolie_usb_r8 w/ wifi black finish w/ 2gb internal memory personalized sports ticker w/ multi-channel streaming,89.1 ��,1
196,logitech dinovo edge keyboard mac edition 920000924,logitech dinovo edge keyboard mac edition 920000924 perfectstroke key system innovative touchdisc charging base optimized mac layout bluetooth wireless technology 38 mm circular touch pad with horizontal and vertical scrolling,159.0,sony dinovo edge keyboard ebay compatible PC,sony dn20 4D touch keyboard wacom8,100.0 ��,1
197,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,〜LINEA MANUAL〜LINEA ARTWORK,,1
198,nikon d90 black digital slr camera with nikkor 18-105mm lens d90outfit,nikon d90 black digital slr camera with nikkor 18-105mm lens d90outfit 12.3 megapixel 3 ' tft lcd display d-movie shooting function expeed image processing scene recognition system in-camera retouch menu low-noise performance active d-lighting viewfinder compatible with hdmi output included af-s dx nikkor 18-105mm vr lens black finish,,nikon d90 black digital slr camera with nikkor 18-105mm lens d90outfit 12.3 megapixel 3 ' tft lcd display d-movie shooting function exspeed image processing scene recognition system in-camera retouch menu low-noise performance active d-lighting viewfinder compatible with hdmi output included af-s dy nikkor 18-105mm rd lens black finish,nikkor 18-,*********** *****,1
199,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,ai20020d white LED fluorescent lamp 1e LED e30000.02,ai20020d white LED fluorescent lamp 1e LED e30000.02 no installation required securely mounts your gas to switch,〈關 〉,1
200,canon cb-2lv battery charger 9764a001,canon cb-2lv battery charger 9764a001 compatible with canon nb-4l rechargeable battery,,canon cb-2lv charge cb-2lv rechargeable battery,��.7 1.40 x 572 1 x 572 2 widescreen LED LED-LIGHT,ɢ.6,1
201,sanus 32 ' 84 ' flat panel tv black tilting wall mount vmpl3b,sanus 32 ' 84 ' flat panel tv black tilting wall mount vmpl3b virtual axis tilt adjustment system supports up to 280 lbs . fits most large flat panel lcd tvs easy to install black finish,,onky,sanus 64 ' 84 ' flat panel tv black tilting panel tv black tilting wall mount vmpl3b compact design compatible with the next generation of sanusconnect interface adapters 3 interchangeable adapter plates black finish,179.72 ��,1
202,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,bloron light and telepathy blue dot (4G/8G+)/white finish,bloron sg sg light and telepathy blue dots 16.1 megapixel sg color sensor black finish black finish,8.0 ��,1
203,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,canon eos 50d digital slr camera body eos50dbody,sony 50d digital m8d f-series m8 dcd format eos 40x50p black finish,______________________  NEW FEATURES!!!,1
204,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic black 1080p down-conversion dtdrvd cam converter dmrea16k 0x7D.7 black finish KlD 46w4100,panschd w 1 :8 black finish KlD 46w4100,��,1
205,dlo black hybridshell for iphone 3g dla4010717,"dlo black hybridshell for iphone 3g dla4010717 fusion of crystal-clear polycarbonate hard-shell case plus non-slip silicone accents custom fit ultra-slim scratch and slip protection total access to all controls , dock connector and headset jack designed especially for the iphone 3g surface shield included black finish",24.99,dlo black hybridshell for [polarize] dla4010715,black,16.99 ��,1
206,sony ms-a1gd 1gb memory stick micro ( m2 ) msa1gd,sony ms-a1gd 1gb memory stick micro ( m2 ) msa1gd 1gb storage capacity with 900mb available minimum write speeds of 15 mbps on memory stick micro enabled devices,,sony ms-a1gd 4GB memory stick micro ( m2 ) msa2gd,sony ms-a1gd 4GB memory stick micro ( m2 ) msa2gd 1gb memory capacity with 900mb available minimum write speeds of 15 mbps on memory stick micro enabled devices,ibrary,1
207,weber gas barbecue rotisserie 7519,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",80.0,weber 2tb ethernet big disk external drive 600800u,weber 2tb ethernet big disk external hard drive 600800u share files over gigabit ethernet 8,��1,1
208,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,cuisinart kitchen griddler gr4,cuisinart kitchen griddler gr4 nonstick griddle handle for 2.8lbs-high,��1,1
209,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,giraffe 8500K white 10k,giraffe 8500K white 11000K white white 15-inch display black finish,��1,1
210,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,"sennheisser iwl remote ctr speaker with 3.5"" volume jack speaker base length 8.7"" center, 1.5"" rear",,bd,1
211,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,netgear ipx wireless-b dp 2 port 10/100 desktop switch fs116q,NETGEMCOME,399.0 ?????-?????-?????,1
212,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,netgear prosafe lcd4,netgear prosafe lcd4 lcd48 ports 96 kb embedded memory per,300.0  Col name,1
213,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic 848001 performer 22.5 ' panasonic in red w/laser lens dbmro 1820,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion easy recording and playback in HD with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,々  (***)  (***)  (***)  (***)  (***)  (***)  (***)  (***)  (***)  (***)  (***)  (***),1
214,garmin nuvi 275t gps navigation system 0100057600,garmin nuvi 275t gps navigation system 0100057600 3.5 ' antiglare touchscreen display size turn-by-turn directions voice prompts speaks street names 2-d or 3-d maps bluetooth wireless technology avoid traffic tie-ups integrated fm traffic receiver sleek & slim design jpeg picture viewer world travel clock up to 4 hours of battery life garmin lock grey finish,,"�� ctron earthen m8l3 m8i2 m9g2 joura col color tv,video game,i tv,tv video output jack tv 2/32 bit tv cam video input jack 1 or 3 inch tv game jack 5 joura col color tv,video game,video game tv",garmin nuvi suvivli uvebz uvebz-m1-whc black finish,��,1
215,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,nw1,1
